Change,PriceUnderCloud,PriceInCloud,PriceOverCloud,PriceCloudIntersectBear,PriceCloudIntersectBull,PriceBaseLinePosition,PriceConvLinePosition,PriceBaseLineDistance,PriceConvLineDistance,ConvLineBaseLinePosition,ConvBaseIntersectBull,ConvBaseIntersectBear,ForwardCloudWidth,ForwardCloudIntersectBear,ForwardCloudIntersectBull
4.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-202.5999999999999,-133.75,0.0,0.0,0.0,46.85384615384555,0.0,0.0
-1.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-269.39999999999964,-200.54999999999973,0.0,0.0,0.0,53.56730769230626,0.0,0.0
0.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.69999999999982,-183.8499999999999,0.0,0.0,0.0,62.686538461537566,0.0,0.0
1.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-214.29999999999973,-117.29999999999973,0.0,0.0,0.0,52.66153846153793,0.0,0.0
-0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-235.0999999999999,-134.8499999999999,0.0,0.0,0.0,56.053846153845825,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-94.04999999999973,83.60000000000036,0.0,0.0,0.0,-40.196153846154175,1.0,0.0
-3.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-229.54999999999973,-51.899999999999636,0.0,0.0,0.0,-25.692307692307622,0.0,0.0
-0.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-235.1500000000001,-57.5,0.0,0.0,0.0,-16.0192307692314,0.0,0.0
1.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-187.75,-10.099999999999909,0.0,0.0,0.0,-8.171153846154084,0.0,0.0
-0.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-206.3499999999999,-28.699999999999818,0.0,0.0,0.0,3.346153846153811,0.0,1.0
0.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-193.54999999999973,-15.899999999999636,0.0,0.0,0.0,9.567307692307168,0.0,0.0
-0.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-195.8499999999999,-18.199999999999818,0.0,0.0,0.0,16.99999999999909,0.0,0.0
-0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-196.94999999999982,-19.299999999999727,0.0,0.0,0.0,20.8596153846147,0.0,0.0
-0.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-212.25,-34.59999999999991,0.0,0.0,0.0,19.95576923076942,0.0,0.0
-3.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-290.2999999999997,-104.59999999999991,0.0,0.0,0.0,-19.21538461538421,1.0,0.0
-0.81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-304.5499999999997,-95.54999999999973,0.0,0.0,0.0,-44.31538461538412,0.0,0.0
1.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-259.3499999999999,-50.34999999999991,0.0,0.0,0.0,-42.24807692307695,0.0,0.0
-0.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-282.1500000000001,-73.15000000000009,0.0,0.0,0.0,-41.80000000000064,0.0,0.0
0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-251.44999999999982,-42.44999999999982,0.0,0.0,0.0,-42.957692307692014,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-216.8499999999999,-7.849999999999909,0.0,0.0,0.0,-43.65769230769183,0.0,0.0
-1.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-232.0999999999999,-51.25,0.0,0.0,0.0,-60.49807692307695,0.0,0.0
0.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-225.14999999999964,-12.899999999999636,0.0,0.0,0.0,-83.58269230769201,0.0,0.0
0.16,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-73.29999999999973,3.700000000000273,0.0,0.0,0.0,-166.81730769230762,0.0,0.0
