PriceUnderCloud,PriceInCloud,PriceOverCloud,PriceCloudIntersectBear,PriceCloudIntersectBull,PriceBaseLinePosition,PriceConvLinePosition,ConvLineBaseLinePosition,ConvBaseIntersectBull,ConvBaseIntersectBear,ForwardCloudIntersectBear,ForwardCloudIntersectBull,Change,ForwardCloudWidth,PriceBaseLineDistance,PriceConvLineDistance
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7501393428904589,-0.21829862869808297,-0.030853302624037685,-0.12307235484894906
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8066617184289536,-0.20145015250989787,-0.06901407325643348,-0.18887147801402987
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6872106532413438,-0.18513095761690168,-0.03287697985454349,-0.12656170228952146
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.41360765476693034,-0.18348014858314463,-0.00960469170372631,-0.031134280767436816
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.7109006689629088,-0.17749721267039345,-0.04346514822129732,-0.04889256684892199
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.11538038642981971,-0.16112315705422098,-0.03529816511247022,-0.03481055753518315
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.17463879195305854,-0.14791855503609247,-0.04154988227099709,-0.04705442846504882
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5326439185272813,-0.1188230458161275,0.037481940998936245,0.018464300709271807
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.1719027619683144,-0.10853478996866127,0.03090498999979233,0.007123921527411393
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.15001452209036134,-0.095293406329312,0.02552056308291069,-0.01350061423740111
