Date,Close,Open,High,Low,Vol,Change,ich_base_line,ich_conv_line,ich_span_a,ich_span_b
2019-03-03,3809.5,3823.2,3836.6,3789.7,1510000.0,-0.36,3788.35,3948.05,3503.2,3717.05
2019-03-04,3715.9,3809.7,3828.4,3681.8,2850000.0,-2.45,3788.35,3938.0,3491.5249999999996,3725.6499999999996
2019-03-05,3857.2,3715.9,3873.2,3705.7,3820000.0,3.8,3788.35,3782.75,3495.45,3788.2
2019-03-06,3863.0,3857.2,3887.3,3816.7,2520000.0,0.15,3887.2,3784.55,3548.225,3788.2
2019-03-07,3875.1,3863.1,3907.4,3847.9,2600000.0,0.32,3887.2,3794.6000000000004,3548.225,3788.2
2019-03-08,3865.9,3875.1,3929.0,3810.7,2960000.0,-0.24,3887.2,3805.4,3548.225,3788.2
2019-03-09,3944.3,3865.6,3964.0,3859.7,2480000.0,2.03,3887.2,3822.9,3548.225,3788.2
2019-03-10,3915.2,3944.4,3944.5,3889.2,1890000.0,-0.74,3887.2,3822.9,3548.225,3788.2
2019-03-11,3870.3,3915.2,3935.5,3842.4,3190000.0,-1.15,3887.2,3822.9,3548.225,3788.2
2019-03-12,3886.0,3870.3,3900.1,3817.1,2900000.0,0.41,3887.8,3822.9,3548.225,3719.35
2019-03-13,3865.1,3885.9,3894.7,3847.4,2280000.0,-0.54,3896.95,3834.85,3548.225,3719.35
2019-03-14,3879.0,3865.1,3914.7,3828.4,2860000.0,0.36,3901.05,3887.35,3548.225,3719.35
2019-03-15,3924.3,3879.0,3935.7,3874.8,3110000.0,1.17,3924.6499999999996,3887.35,3589.85,3719.35
2019-03-16,4006.4,3924.4,4050.6,3923.7,3460000.0,2.09,3938.0,3930.6499999999996,3688.95,3719.35
2019-03-17,3981.5,4006.4,4009.8,3956.3,1870000.0,-0.62,3938.0,3933.85,3734.0,3719.35
2019-03-18,3990.2,3981.5,4032.3,3958.5,2620000.0,0.22,3938.0,3933.85,3734.0,3719.35
2019-03-19,4017.0,3990.2,4029.9,3972.4,2990000.0,0.67,3938.0,3933.85,3742.85,3719.35
2019-03-20,4041.2,4017.0,4050.0,3985.3,3180000.0,0.6,3938.0,3933.85,3742.85,3719.35
2019-03-21,3982.2,4041.2,4064.0,3923.8,3880000.0,-1.46,3938.0,3946.2,3813.7,3760.4
2019-03-22,3990.4,3982.2,4005.7,3971.8,2830000.0,0.21,3872.9,3946.2,3842.6499999999996,3781.2
2019-03-23,4002.5,3990.4,4018.2,3980.8,2000000.0,0.3,3872.9,3969.4,3844.7,3781.2
2019-03-24,3994.7,4002.6,4005.7,3967.0,2040000.0,-0.2,3872.9,3993.85,3856.5,3781.2
2019-03-25,3937.0,3994.8,4000.5,3897.9,2860000.0,-1.44,3872.9,3980.95,3868.2,3781.2
2019-03-26,3942.8,3937.1,3950.7,3899.9,2530000.0,0.15,3872.9,3980.95,3868.2,3781.2
2019-03-27,4041.7,3942.8,4043.3,3936.2,2780000.0,2.51,3872.9,3980.95,3868.2,3781.2
2019-03-28,4025.6,4041.7,4041.7,4008.4,2110000.0,-0.4,3872.9,3980.95,3868.2,3781.2
2019-03-29,4102.2,4025.7,4123.1,4022.6,3300000.0,1.9,3902.4500000000003,4010.5,3868.2,3781.2
2019-03-30,4111.8,4103.7,4138.1,4057.1,2550000.0,0.23,3921.9,4018.0,3863.175,3781.2
2019-03-31,4102.3,4111.8,4121.9,4082.2,2430000.0,-0.23,3974.4,4018.0,3785.55,3781.2
2019-04-01,4145.1,4102.3,4159.1,4076.8,3220000.0,1.04,3984.9,4028.5,3835.875,3781.2
2019-04-02,4859.3,4145.1,4899.6,4143.5,14770000.0,17.23,4355.15,4398.75,3840.9,3781.2
2019-04-03,4968.7,4859.3,5278.4,4814.0,13830000.0,2.25,4547.75,4589.15,3846.3,3781.2
2019-04-04,4902.4,4968.7,5042.5,4789.2,1050000.0,-1.33,4547.75,4607.299999999999,3855.05,3781.2
2019-04-05,5010.2,4902.5,5029.4,4888.3,851720.0,2.2,4547.75,4643.4,3855.05,3781.2
2019-04-06,5046.2,5010.0,5198.4,4947.9,952180.0,0.72,4547.75,4650.5,3855.05,3781.2
2019-04-07,5173.6,5046.1,5219.5,5033.7,841270.0,2.53,4553.4,4667.75,3855.3500000000004,3781.2
2019-04-08,5245.2,5173.5,5300.6,5060.5,928230.0,1.38,4564.5,4688.700000000001,3865.8999999999996,3781.2
2019-04-09,5158.4,5245.0,5245.9,5095.2,784620.0,-1.65,4587.700000000001,4688.700000000001,3894.2,3781.2
2019-04-10,5307.8,5158.4,5404.1,5142.9,837510.0,2.89,4651.0,4773.8,3906.0,3781.2
2019-04-11,5022.6,5307.7,5337.0,4948.0,943490.0,-5.37,4651.0,5096.65,3934.325,3781.2
2019-04-12,5054.2,5022.7,5080.5,4889.2,779140.0,0.63,4651.0,5096.65,3935.925,3781.2
2019-04-13,5051.8,5054.2,5093.4,5011.6,577160.0,-0.05,4651.0,5146.200000000001,3935.925,3781.2
2019-04-14,5134.8,5052.0,5153.5,5010.7,566380.0,1.64,4651.0,5146.65,3935.925,3781.2
2019-04-15,5032.3,5135.1,5168.0,4964.2,688200.0,-2.0,4651.0,5146.65,3935.925,3781.2
2019-04-16,5180.9,5031.4,5198.4,5014.4,631050.0,2.95,4651.0,5146.65,3942.1,3781.2
2019-04-17,5208.3,5182.1,5230.9,5165.5,806520.0,0.53,4651.0,5146.65,3909.55,3788.35
2019-04-18,5264.7,5208.3,5293.1,5205.0,727970.0,1.08,4651.0,5146.65,3921.15,3788.35
2019-04-19,5241.0,5264.8,5282.4,5192.1,787090.0,-0.45,4651.0,5113.1,3933.375,3788.35
2019-04-20,5290.2,5241.0,5327.0,5240.2,782320.0,0.94,4652.0,5108.1,3926.925,3788.35
2019-04-21,5243.5,5290.2,5308.2,5189.8,811410.0,-0.88,4670.15,5145.6,3926.925,3788.35
2019-04-22,5346.7,5248.2,5370.2,5170.2,920770.0,1.97,4706.25,5167.2,3926.925,3788.35
2019-04-23,5511.6,5346.5,5594.4,5291.4,900000.0,3.08,4808.5,5279.299999999999,3926.925,3788.35
2019-04-24,5415.6,5511.2,5589.6,5346.8,994040.0,-1.74,4825.75,5304.4,3956.4750000000004,3788.35
2019-04-25,5209.1,5415.6,5528.2,5137.4,955360.0,-3.81,4835.6,5365.9,3969.95,3788.35
2019-04-26,5298.3,5209.2,5469.3,5159.3,1030000.0,1.71,4835.6,5365.9,3996.2,3788.35
2019-04-27,5265.9,5298.2,5318.1,5225.4,833130.0,-0.61,4868.95,5365.9,4006.7,3887.2
2019-04-28,5302.3,5265.7,5332.5,5234.4,681410.0,0.69,5191.799999999999,5365.9,4376.95,4239.9
2019-04-29,5235.0,5302.4,5322.9,5188.9,775820.0,-1.27,5191.799999999999,5365.9,4568.45,4429.299999999999
2019-04-30,5320.8,5235.4,5336.6,5195.9,697420.0,1.64,5241.35,5365.9,4577.525,4429.299999999999
2019-05-01,5384.2,5321.1,5396.3,5319.5,623640.0,1.19,5241.799999999999,5365.9,4595.575,4429.299999999999
2019-05-02,5493.8,5384.6,5530.8,5370.0,722230.0,2.04,5241.799999999999,5363.5,4599.125,4429.299999999999
2019-05-03,5766.8,5493.6,5844.2,5478.7,1040000.0,4.97,5366.7,5490.799999999999,4610.575,4429.9
2019-05-04,5830.9,5768.0,5899.2,5605.0,920610.0,1.11,5394.2,5529.25,4626.6,4450.15
2019-05-05,5774.9,5830.8,5838.2,5708.2,709020.0,-0.96,5394.2,5544.049999999999,4638.200000000001,4454.25
2019-05-06,5745.1,5775.1,5801.4,5630.5,755390.0,-0.52,5394.2,5544.049999999999,4712.4,4529.6
2019-05-07,5849.5,5745.5,6019.8,5745.5,955880.0,1.82,5454.5,5604.35,4873.825,4542.950000000001
2019-05-08,5990.3,5849.4,6011.3,5799.1,757130.0,2.41,5492.0,5607.85,4873.825,4542.950000000001
2019-05-09,6191.5,5990.5,6206.0,5990.0,799960.0,3.36,5585.1,5762.75,4898.6,4542.950000000001
2019-05-10,6386.0,6194.3,6466.6,6157.8,907940.0,3.14,5715.4,5918.3,4898.825,4542.950000000001
2019-05-11,7190.3,6386.6,7373.8,6386.5,1310000.0,12.59,6194.1,6426.25,4898.825,4542.950000000001
2019-05-12,6984.8,7190.0,7518.9,6802.6,1350000.0,-2.86,6328.15,6561.95,4898.825,4542.950000000001
2019-05-13,7806.0,6984.7,8058.3,6893.1,1200000.0,11.76,6597.85,6844.4,4898.825,4542.950000000001
2019-05-14,7994.6,7806.4,8323.9,7674.0,1330000.0,2.42,6730.65,6977.2,4898.825,4542.950000000001
2019-05-15,8164.6,7994.8,8225.3,7856.5,1130000.0,2.13,6730.65,7034.7,4882.05,4542.950000000001
2019-05-16,7871.8,8164.8,8293.3,7720.4,1180000.0,-3.59,6730.65,7061.5,4880.05,4542.950000000001
2019-05-17,7359.5,7871.9,7924.0,6998.6,1430000.0,-6.51,6730.65,7156.95,4907.875,4542.950000000001
2019-05-18,7262.6,7359.9,7458.5,7189.4,865530.0,-1.32,6730.65,7240.85,4936.725,4542.950000000001
2019-05-19,8157.2,7261.9,8253.4,7252.3,1080000.0,12.32,6730.65,7355.2,5043.9,4638.1
2019-05-20,7965.3,8156.4,8156.4,7604.0,958810.0,-2.35,6730.65,7563.25,5065.075,4638.1
2019-05-21,7930.3,7965.0,8056.8,7813.2,804880.0,-0.44,6741.6,7608.5,5100.75,4650.049999999999
2019-05-22,7635.7,7928.7,7999.0,7545.9,821400.0,-3.72,6756.4,7661.25,5100.75,4702.549999999999
2019-05-23,7852.1,7637.2,7939.1,7486.8,815140.0,2.83,6756.4,7645.95,5117.424999999999,4702.549999999999
2019-05-24,7970.1,7852.8,8124.1,7775.4,868470.0,1.5,6756.4,7645.95,5278.849999999999,4702.549999999999
2019-05-25,8027.4,7971.4,8090.1,7919.1,691270.0,0.72,6759.9,7626.0,5278.849999999999,4705.75
2019-05-26,8630.2,8029.6,8718.6,7866.5,872120.0,7.51,7019.05,7954.0,5303.625,4705.75
2019-05-27,8760.1,8628.9,8902.8,8607.3,907960.0,1.51,7136.4,8077.549999999999,5303.849999999999,4705.75
2019-05-28,8716.3,8759.4,8794.1,8568.8,763200.0,-0.5,7190.75,8194.8,5302.65,4705.75
2019-05-29,8647.8,8715.6,8747.2,8435.3,15430000.0,-0.79,7253.9,8194.8,5428.75,4836.3
2019-05-30,8271.9,8647.8,9045.9,8054.7,1040000.0,-4.35,7338.2,8266.35,5461.725,4863.8
2019-05-31,8558.3,8271.4,8578.8,8135.0,858410.0,3.46,7338.2,8266.35,5469.125,4887.0
2019-06-01,8545.7,8556.9,8615.8,8454.0,686750.0,-0.15,7395.7,8410.65,5469.125,4898.55
