PriceUnderCloud,PriceInCloud,PriceOverCloud,PriceCloudIntersectBear,PriceCloudIntersectBull,PriceBaseLinePosition,PriceConvLinePosition,ConvLineBaseLinePosition,ConvBaseIntersectBull,ConvBaseIntersectBear,ForwardCloudIntersectBear,ForwardCloudIntersectBull,Close,ForwardCloudWidth,PriceBaseLineDistance,PriceConvLineDistance
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41428353696469,0.6410252641183553,0.3961866753032377,0.4733895972542318
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4185277577326001,0.6441245037837472,0.40830573461349606,0.4892109233804774
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42001766740488217,0.6347424425894939,0.4398884210746263,0.48724113345824094
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4208870405852639,0.617233145677171,0.47576083663299107,0.497146457528477
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4212914002040461,0.6164693154837397,0.48458685499963444,0.4988708527465964
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4391563192077039,0.6191924660278413,0.5326848940104684,0.575055959940972
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4223785054868489,0.6150722465767915,0.49612712475317866,0.5134851022201583
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.42604884664194886,0.6077583170280715,0.5249516804747328,0.5291373049692423
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42281396969169127,0.6057981900038814,0.5254113689313288,0.515342143224287
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4189507801030184,0.6089642939410753,0.5150307677841972,0.4988675366019462
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42084660462338563,0.6114570943799058,0.5201249516804747,0.5083749233141546
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42174241670191853,0.6140435585774943,0.5225320475986502,0.5121951219512192
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41500360813198295,0.61701131045906,0.5044245013947366,0.4834574124123289
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42433031826212453,0.6176537811028662,0.5309109144666047,0.5261030326142822
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4283054843606141,0.6208740217963185,0.5415924026035083,0.5430551640662562
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4342604573618334,0.6244510810769628,0.5575937398790183,0.5684501997977147
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4259617538009804,0.6271692123191597,0.535294670748143,0.5364261909104471
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.42548118794635076,0.6318236289014992,0.5340033640837051,0.5304007560809797
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42370978177022417,0.6330517445211186,0.5292434990649519,0.5269619140786916
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.42328675939980587,0.6202160450948427,0.528106814881369,0.5689277246273478
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4175775126284619,0.6040020865955064,0.5127657573889695,0.5978047122415474
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4270721875233284,0.6011685114095008,0.5382784667300479,0.650577838205302
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4205075646353298,0.6027581063966521,0.5206389669546684,0.6227321715773237
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4235915843431955,0.6021858163491214,0.5289258961313037,0.6394355921805304
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.42465380595715024,0.5930665514617371,0.5317801435481679,0.6740594584735781
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4269213302809366,0.5893164158957707,0.5378731050910497,0.6982540498416537
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.41465212630950304,0.5765323435748005,0.5179832213713342,0.6666876689161176
0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.416306890287904,0.5781572529360672,0.5224296624424084,0.6737444247318065
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3900359569014855,0.5238882022205027,0.5006968459103399,0.6405199714811556
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3673016149501082,0.5071727616826487,0.43960842901469976,0.5887781665036227
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.35942904421827954,0.5018961309249044,0.4184544020393453,0.5639070816269001
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3621553611864533,0.4991620454730822,0.42578016444309796,0.5753146192236901
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.35945392788712766,0.4975728090074952,0.4185212658148501,0.5634461375205181
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3477897081145644,0.5023154218947318,0.38717887104694054,0.495213145197393
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3406076591932714,0.5008153676683451,0.36768390150130065,0.4642735156107505
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35304793838803594,0.5120830730317382,0.3890301618312317,0.49815124935749666
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352696456565556,0.511188651358393,0.3880857110022253,0.49439074132413596
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35303238609500587,0.5099714706464945,0.3889883719715411,0.49582331581303535
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3517197725632667,0.5078991263725771,0.385461307813659,0.4902256636434476
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.36160014432527926,0.5052373726464178,0.4120104056750629,0.5323605975692653
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3619391843133351,0.5065724173226862,0.41292142461631676,0.5200510686276131
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35947259063876374,0.5063734378543201,0.4062935528693962,0.5026147800567057
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.37327836116156965,0.5074498988521037,0.443390411316694,0.5483046210475696
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.35021742105656056,0.5049761000561982,0.3811757577023937,0.4495664140869822
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3716002687436235,0.5184449485656001,0.4299487029472298,0.5041501550297619
